No,report,report_info,order,date_report,date_submission,date_confirmation,province,location,lat,long,start,end,species,susceptible,cases,deaths,destroyed,slaughtered
0,en_fup_0000027458_20180806_155743,other report ,1,04/08/2018,04/08/2018,03/08/2018,Liaoning,Shenyang_Shenbei New District_Farm_Shenbei Street,42.0225,123.2932,01/08/2018,NA,Swine,8116.0,47.0,47,8069,0.0
1,en_fup_0000027533_20180813_175309,other report ,1,10/08/2018,10/08/2018,03/08/2018,Liaoning,Shenyang_Shenbei New District_Farm_Shenbei Street,42.0225,123.2932,01/08/2018,NA,Swine,8116.0,47.0,47,8069,0.0
2,en_fup_0000027570_20180816_175933,other report ,1,16/08/2018,16/08/2018,03/08/2018,Liaoning,Shenyang_Shenbei New District_Farm_Shenbei Street,42.0225,123.2932,01/08/2018,NA,Swine,8792.0,47.0,47,8745,0.0
3,en_fup_0000027688_20180907_184405,other report ,1,07/09/2018,07/09/2018,03/08/2018,Liaoning,Shenyang_Shenbei New District_Farm_Shenbei Street,42.0225,123.2932,01/08/2018,NA,Swine,19420.0,47.0,47,19373,0.0
3,en_fup_0000027688_20180907_184405, (this report ,2,07/09/2018,07/09/2018,03/08/2018,Liaoning,Shenyang_Shenbei New District_Farm_Cailuo yi village,42.02,123.427,07/08/2018,NA,Swine,160.0,3.0,0,160,0.0
3,en_fup_0000027688_20180907_184405, (this report ,3,07/09/2018,07/09/2018,03/08/2018,Liaoning,Shenyang_Shenbei New District_Farm_Cailuo yi village,42.02,123.427,07/08/2018,NA,Swine,55.0,1.0,0,55,0.0
3,en_fup_0000027688_20180907_184405, (this report ,4,07/09/2018,07/09/2018,03/08/2018,Liaoning,Shenyang_Shenbei New District_Farm_Cailuo yi village,42.02,123.427,07/08/2018,NA,Swine,216.0,2.0,0,216,0.0
3,en_fup_0000027688_20180907_184405, (this report ,5,07/09/2018,07/09/2018,03/08/2018,Liaoning,Shenyang_Shenbei New District_Farm_Yinjia village,42.02,123.366,07/08/2018,NA,Swine,140.0,1.0,0,140,0.0
4,en_fup_0000027689_20180907_184909,other report ,1,07/09/2018,07/09/2018,16/08/2018,Henan,Zhengzhou_Slaughterhouse_Economic Development_Zone,34.724,113.848,14/08/2018,NA,Swine,1806.0,30.0,30,1776,0.0
5,en_fup_0000027690_20180907_184548,other report ,1,07/09/2018,07/09/2018,19/08/2018,Jiangsu,Lianyungang_Haizhou District_Farm_Baofu Village,34.628,119.054,15/08/2018,NA,Swine,14686.0,615.0,88,14598,0.0
5,en_fup_0000027690_20180907_184548, (this report ,2,07/09/2018,07/09/2018,19/08/2018,Jiangsu,Wuxi_Yixin City_Farm_Chengdian village _Yangxiang township,31.315,119.352,29/08/2018,NA,Swine,97.0,12.0,9,88,0.0
6,en_fup_0000027691_20180907_184715,other report ,1,07/09/2018,07/09/2018,22/08/2018,Zhejiang,Wenzhou_Yueqing_Farm_Zhang ao Village,28.2,120.94,17/08/2018,NA,Swine,1864.0,430.0,340,1524,0.0
7,en_fup_0000027809_20180904_134034,other report ,1,03/09/2018,03/09/2018,30/08/2018,Anhui,Wuhu_Nanling_Farm_Yanhe Village,30.891,118.475,17/08/2018,NA,Swine,459.0,185.0,80,379,0.0
7,en_fup_0000027809_20180904_134034, (this report ,2,03/09/2018,03/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Liufu Village  Five Star_Township,30.595,118.461,19/08/2018,NA,Swine,440.0,153.0,111,329,0.0
7,en_fup_0000027809_20180904_134034, (this report ,3,03/09/2018,03/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Gouzu Village  Old_Spring Tonship,30.594,118.393,22/08/2018,NA,Swine,285.0,63.0,42,243,0.0
7,en_fup_0000027809_20180904_134034, (this report ,4,03/09/2018,03/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Zhugong Village  Jinba_Township,30.524,118.461,27/08/2018,NA,Swine,308.0,152.0,83,225,0.0
8,en_fup_0000027839_20180906_133151,other report ,1,06/09/2018,06/09/2018,30/08/2018,Anhui,Wuhu_Nanling_Farm_Yanhe Village,30.891,118.475,17/08/2018,NA,Swine,459.0,185.0,80,379,0.0
8,en_fup_0000027839_20180906_133151,other report ,2,06/09/2018,06/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Liufu Village  Five Star_Township,30.595,118.461,19/08/2018,NA,Swine,440.0,153.0,111,329,0.0
8,en_fup_0000027839_20180906_133151,other report ,3,06/09/2018,06/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Gouzu Village  Old_Spring Tonship,30.594,118.393,22/08/2018,NA,Swine,285.0,63.0,42,243,0.0
8,en_fup_0000027839_20180906_133151,other report ,4,06/09/2018,06/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Zhugong Village  Jinba_Township,30.524,118.461,27/08/2018,NA,Swine,308.0,152.0,83,225,0.0
8,en_fup_0000027839_20180906_133151,other report ,5,06/09/2018,06/09/2018,30/08/2018,Anhui,Wuhu_Nanling_Farm_Longtan Village  Xuzhen_Township,31.089,118.406,31/08/2018,NA,Swine,30.0,13.0,4,26,0.0
8,en_fup_0000027839_20180906_133151,other report ,6,06/09/2018,06/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Tianhu Township,30.867,118.643,31/08/2018,NA,Swine,52.0,15.0,15,37,0.0
8,en_fup_0000027839_20180906_133151, (this report ,7,06/09/2018,06/09/2018,30/08/2018,Anhui,Chuzhou_Fengyang_Farm_Wugang Village  Damiao_Township,32.782,117.449,02/09/2018,NA,Swine,886.0,62.0,22,864,0.0
9,en_fup_0000027845_20180907_105504,other report,1,06/09/2018,06/09/2018,05/09/2018,Heilongjiang,Jiamusi_Backyard_Fanjia Tun  Changqing_Township,46.821,130.273,01/09/2018,NA,Swine,87.0,39.0,12,75,0.0
9,en_fup_0000027845_20180907_105504, (this report,2,06/09/2018,06/09/2018,05/09/2018,Heilongjiang,Jiamusi_Xiangyang District_Farm_Heping Village,46.778,130.367,03/09/2018,NA,Swine,203.0,26.0,10,193,0.0
10,en_fup_0000027846_20180907_110550,other report ,1,06/09/2018,06/09/2018,30/08/2018,Anhui,Wuhu_Nanling_Farm_Yanhe Village,30.891,118.475,17/08/2018,NA,Swine,459.0,185.0,80,379,0.0
10,en_fup_0000027846_20180907_110550,other report ,2,06/09/2018,06/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Liufu Village  Five Star_Township,30.595,118.461,19/08/2018,NA,Swine,440.0,153.0,111,329,0.0
10,en_fup_0000027846_20180907_110550,other report ,3,06/09/2018,06/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Gouzu Village  Old_Spring Tonship,30.594,118.393,22/08/2018,NA,Swine,285.0,63.0,42,243,0.0
10,en_fup_0000027846_20180907_110550,other report ,4,06/09/2018,06/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Zhugong Village  Jinba_Township,30.524,118.461,27/08/2018,NA,Swine,308.0,152.0,83,225,0.0
10,en_fup_0000027846_20180907_110550, (this report ,5,06/09/2018,06/09/2018,30/08/2018,Anhui,Wuhu_Nanling_Farm_Longtan Village  Xuzhen_Township,31.089,118.406,31/08/2018,NA,Swine,30.0,13.0,4,26,0.0
10,en_fup_0000027846_20180907_110550, (this report ,6,06/09/2018,06/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Tianhu Township,30.867,118.643,31/08/2018,NA,Swine,52.0,15.0,15,37,0.0
10,en_fup_0000027846_20180907_110550,other report ,7,06/09/2018,06/09/2018,30/08/2018,Anhui,Chuzhou_Fengyang_Farm_Wugang Village  Damiao_Township,32.782,117.449,02/09/2018,NA,Swine,886.0,62.0,22,864,0.0
11,en_fup_0000027856_20180910_192244,other report ,1,07/09/2018,10/09/2018,30/08/2018,Anhui,Wuhu_Nanling_Farm_Yanhe Village,30.891,118.475,17/08/2018,NA,Swine,459.0,185.0,80,379,0.0
11,en_fup_0000027856_20180910_192244,other report ,2,07/09/2018,10/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Liufu Village  Five Star_Township,30.595,118.461,19/08/2018,NA,Swine,440.0,153.0,111,329,0.0
11,en_fup_0000027856_20180910_192244,other report ,3,07/09/2018,10/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Gouzu Village  Old_Spring Township,30.594,118.393,22/08/2018,NA,Swine,285.0,63.0,42,243,0.0
11,en_fup_0000027856_20180910_192244,other report ,4,07/09/2018,10/09/2018,30/08/2018,Anhui,Xuancheng_Xuanzhou District_Farm_Zhugong Village  Jinba_Township,30.524,118.461,27/08/2018,NA,Swine,308.0,152.0,83,225,0.0
11,en_fup_0000027856_20180910_192244,other report ,5,07/09/2018,10/09/2018,30/08/2018,Anhui,Wuhu_Nanling_Farm_Longtan Village  Xuzhen_Township,31.089,118.406,31/08/2018,NA,Swine,30.0,13.0,4,26,0.0
