run,day,ID,status,Lat,Lon
4,1,31,C,33.515,-37.5675
4,2,31,C,33.515,-37.5675
4,2,1922,L,33.407,-37.2380
4,2,2728,L,33.552,-37.7507
4,3,31,C,33.515,-37.5675
4,3,731,L,33.785,-37.7894
4,3,1922,L,33.407,-37.2380
4,3,2728,L,33.552,-37.7507
4,4,31,C,33.515,-37.5675
4,4,715,L,33.302,-37.0091
4,4,731,L,33.785,-37.7894
4,4,1922,L,33.407,-37.2380
4,4,2728,L,33.552,-37.7507
4,4,3267,L,33.990,-37.6930
4,5,31,C,33.515,-37.5675
4,5,715,L,33.302,-37.0091
4,5,731,L,33.785,-37.7894
4,5,1922,L,33.407,-37.2380
4,5,2728,L,33.552,-37.7507
4,5,3267,L,33.990,-37.6930
4,6,31,C,33.515,-37.5675
4,6,715,L,33.302,-37.0091
4,6,731,L,33.785,-37.7894
4,6,1282,L,33.887,-37.5334
4,6,1922,L,33.407,-37.2380
4,6,1932,L,33.536,-36.9744
4,6,1950,L,33.137,-37.0975
4,6,2728,L,33.552,-37.7507
4,6,3267,L,33.990,-37.6930
4,7,31,C,33.515,-37.5675
4,7,636,L,33.315,-36.8601
4,7,715,L,33.302,-37.0091
4,7,731,L,33.785,-37.7894
4,7,1170,L,34.215,-37.5921
4,7,1282,L,33.887,-37.5334
4,7,1908,L,33.282,-36.9530
4,7,1914,L,33.215,-36.9742
4,7,1922,L,33.407,-37.2380
4,7,1932,L,33.536,-36.9744
4,7,1950,L,33.137,-37.0975
4,7,1980,L,33.630,-36.8394
4,7,1988,L,33.067,-37.0964
4,7,2728,L,33.552,-37.7507
4,7,3267,L,33.990,-37.6930
4,8,31,N,33.515,-37.5675
4,8,239,L,34.448,-37.6280
4,8,636,L,33.315,-36.8601
4,8,715,L,33.302,-37.0091
4,8,731,L,33.785,-37.7894
4,8,1170,L,34.215,-37.5921
4,8,1282,L,33.887,-37.5334
4,8,1908,L,33.282,-36.9530
4,8,1914,L,33.215,-36.9742
4,8,1921,L,32.975,-36.9166
4,8,1922,L,33.407,-37.2380
4,8,1932,L,33.536,-36.9744
4,8,1950,L,33.137,-37.0975
4,8,1980,L,33.630,-36.8394
4,8,1988,L,33.067,-37.0964
4,8,2698,L,34.179,-37.5259
4,8,2728,L,33.552,-37.7507
4,8,2793,L,33.330,-36.7134
4,8,3267,L,33.990,-37.6930
4,9,31,N,33.515,-37.5675
4,9,239,L,34.448,-37.6280
4,9,636,L,33.315,-36.8601
4,9,715,L,33.302,-37.0091
4,9,731,L,33.785,-37.7894
4,9,1170,L,34.215,-37.5921
4,9,1282,L,33.887,-37.5334
4,9,1908,L,33.282,-36.9530
4,9,1914,L,33.215,-36.9742
4,9,1921,L,32.975,-36.9166
4,9,1922,L,33.407,-37.2380
4,9,1932,L,33.536,-36.9744
4,9,1950,L,33.137,-37.0975
4,9,1970,L,33.354,-36.6771
4,9,1980,L,33.630,-36.8394
4,9,1988,L,33.067,-37.0964
4,9,2698,L,34.179,-37.5259
4,9,2728,L,33.552,-37.7507
4,9,2793,L,33.330,-36.7134
