run,day,ID,status,Lat,Lon
1,1,31,C,33.515,-37.5675
1,2,31,C,33.515,-37.5675
1,2,2728,L,33.552,-37.7507
1,3,31,C,33.515,-37.5675
1,3,2728,L,33.552,-37.7507
1,4,31,C,33.515,-37.5675
1,4,731,L,33.785,-37.7894
1,4,2728,L,33.552,-37.7507
1,5,31,C,33.515,-37.5675
1,5,731,L,33.785,-37.7894
1,5,2728,L,33.552,-37.7507
1,5,3267,L,33.990,-37.6930
1,6,31,C,33.515,-37.5675
1,6,731,L,33.785,-37.7894
1,6,1282,L,33.887,-37.5334
1,6,2728,L,33.552,-37.7507
1,6,3267,L,33.990,-37.6930
1,7,31,C,33.515,-37.5675
1,7,731,L,33.785,-37.7894
1,7,1282,L,33.887,-37.5334
1,7,1922,L,33.407,-37.2380
1,7,2728,L,33.552,-37.7507
1,7,3267,L,33.990,-37.6930
1,8,31,C,33.515,-37.5675
1,8,715,L,33.302,-37.0091
1,8,731,L,33.785,-37.7894
1,8,1282,L,33.887,-37.5334
1,8,1922,L,33.407,-37.2380
1,8,2698,L,34.179,-37.5259
1,8,2728,L,33.552,-37.7507
1,8,3267,L,33.990,-37.6930
1,9,31,C,33.515,-37.5675
1,9,636,L,33.315,-36.8601
1,9,715,L,33.302,-37.0091
1,9,731,L,33.785,-37.7894
1,9,1170,L,34.215,-37.5921
1,9,1282,L,33.887,-37.5334
1,9,1908,L,33.282,-36.9530
1,9,1914,L,33.215,-36.9742
1,9,1922,L,33.407,-37.2380
1,9,2698,L,34.179,-37.5259
1,9,2728,L,33.552,-37.7507
1,9,3267,L,33.990,-37.6930
1,10,31,C,33.515,-37.5675
1,10,636,L,33.315,-36.8601
1,10,715,L,33.302,-37.0091
1,10,731,L,33.785,-37.7894
1,10,1170,L,34.215,-37.5921
1,10,1282,L,33.887,-37.5334
1,10,1908,L,33.282,-36.9530
1,10,1914,L,33.215,-36.9742
1,10,1922,L,33.407,-37.2380
1,10,1950,L,33.137,-37.0975
1,10,1988,L,33.067,-37.0964
1,10,2698,L,34.179,-37.5259
1,10,2728,L,33.552,-37.7507
1,10,2793,L,33.330,-36.7134
1,10,3267,L,33.990,-37.6930
1,11,31,N,33.515,-37.5675
1,11,239,L,34.448,-37.6280
1,11,636,L,33.315,-36.8601
1,11,715,L,33.302,-37.0091
1,11,731,L,33.785,-37.7894
1,11,1170,L,34.215,-37.5921
1,11,1282,L,33.887,-37.5334
1,11,1908,L,33.282,-36.9530
1,11,1914,L,33.215,-36.9742
1,11,1921,L,32.975,-36.9166
1,11,1922,L,33.407,-37.2380
1,11,1950,L,33.137,-37.0975
1,11,1970,L,33.354,-36.6771
