LOG: HEADERS:
Run,Day,outbreakDuration,versionMajor,versionMinor,versionRelease,destrOccurred,firstDestruction,desnADirFwdCattle,firstDestructionRing,firstDestructionDirFwd,firstDestructionIndFwd,firstDestructionDirBack,firstDestructionIndBack,firstDestructionDet,descAIndFwdSwine,desnAIndFwdSwine,descARing,firstDestructionSwine,firstDestructionCattle,descARingCattle,descA,firstDestructionRingSwine,firstDestructionRingCattle,firstDestructionDirFwdSwine,firstDestructionDirFwdCattle,firstDestructionIndFwdSwine,firstDestructionIndFwdCattle,firstDestructionDirBackSwine,firstDestructionDirBackCattle,firstDestructionIndBackSwine,firstDestructionIndBackCattle,firstDestructionDetSwine,firstDestructionDetCattle,descARingSwine,desnADirBackSwine,desnAIndFwdCattle,descAIndFwd,descADirFwd,desnADirBackCattle,desnU,descAIniCattle,desnURing,desnUDirFwd,desnUIndFwd,desnUDirBack,desnUIndBack,desnUDet,desnUIni,descAIniSwine,descADetCattle,desnUSwine,desnUCattle,descACattle,descADirBack,desnURingSwine,desnURingCattle,desnUDirFwdSwine,desnUDirFwdCattle,desnUIndFwdSwine,desnUIndFwdCattle,desnUDirBackSwine,desnUDirBackCattle,desnUIndBackSwine,desnUIndBackCattle,desnUDetSwine,desnUDetCattle,desnUIniSwine,desnUIniCattle,descASwine,desnAIniCattle,descADirFwdSwine,desnAIniSwine,descU,descADetSwine,descURing,descUDirFwd,descUIndFwd,descUDirBack,descUIndBack,descUDet,descUIni,descAIndBackCattle,descAIndBackSwine,descUSwine,descUCattle,descADirFwdCattle,desnADetCattle,descURingSwine,descURingCattle,descUDirFwdSwine,descUDirFwdCattle,descUIndFwdSwine,descUIndFwdCattle,descUDirBackSwine,descUDirBackCattle,descUIndBackSwine,descUIndBackCattle,descUDetSwine,descUDetCattle,descUIniSwine,descUIniCattle,descAIni,desnADetSwine,descADet,desnAIndBackCattle,desnA,descADirBackCattle,desnARing,desnADirFwd,desnAIndFwd,desnADirBack,desnAIndBack,desnADet,desnAIni,descADirBackSwine,descAIndFwdCattle,desnASwine,desnACattle,descAIndBack,desnAIndBackSwine,desnARingSwine,desnARingCattle,desnADirFwdSwine,zoneAreaHighRisk,zoneAreaMediumRisk,zonePerimeterHighRisk,zonePerimeterMediumRisk,numSeparateAreasHighRisk,numSeparateAreasMediumRisk,unitsInZoneHighRisk,unitsInZoneMediumRisk,unitsInZoneBackground,unitsInZoneHighRiskSwine,unitsInZoneHighRiskCattle,unitsInZoneMediumRiskSwine,unitsInZoneMediumRiskCattle,unitsInZoneBackgroundSwine,unitsInZoneBackgroundCattle,unitDaysInZoneHighRisk,unitDaysInZoneMediumRisk,unitDaysInZoneBackground,unitDaysInZoneHighRiskSwine,unitDaysInZoneHighRiskCattle,unitDaysInZoneMediumRiskSwine,unitDaysInZoneMediumRiskCattle,unitDaysInZoneBackgroundSwine,unitDaysInZoneBackgroundCattle,animalDaysInZoneHighRisk,animalDaysInZoneMediumRisk,animalDaysInZoneBackground,animalDaysInZoneHighRiskSwine,animalDaysInZoneHighRiskCattle,animalDaysInZoneMediumRiskSwine,animalDaysInZoneMediumRiskCattle,animalDaysInZoneBackgroundSwine,animalDaysInZoneBackgroundCattle,tsdUSusc,tsdULat,tsdUSubc,tsdUClin,tsdUNImm,tsdUVImm,tsdUDest,tsdASusc,tsdALat,tsdASubc,tsdAClin,tsdANImm,tsdAVImm,tsdADest,tsdUSuscSwine,tsdUSuscCattle,tsdULatSwine,tsdULatCattle,tsdUSubcSwine,tsdUSubcCattle,tsdUClinSwine,tsdUClinCattle,tsdUNImmSwine,tsdUNImmCattle,tsdUVImmSwine,tsdUVImmCattle,tsdUDestSwine,tsdUDestCattle,tsdASuscSwine,tsdASuscCattle,tsdALatSwine,tsdALatCattle,tsdASubcSwine,tsdASubcCattle,tsdAClinSwine,tsdAClinCattle,tsdANImmSwine,tsdANImmCattle,tsdAVImmSwine,tsdAVImmCattle,tsdADestSwine,tsdADestCattle,diseaseDuration,infnU,firstDetAInf,infnUDir,infnUInd,infnUAir,infnUIni,infnUSwine,infnUCattle,infcAAirCattle,infcADirCattle,infnUDirSwine,infnUDirCattle,infnUIndSwine,infnUIndCattle,infnUAirSwine,infnUAirCattle,infnUIniSwine,infnUIniCattle,infcU,firstDetUInf,infcUDir,infcUInd,infcUAir,infcUIni,infcUSwine,infcUCattle,infcAAirSwine,infcADirSwine,infcUDirSwine,infcUDirCattle,infcUIndSwine,infcUIndCattle,infcUAirSwine,infcUAirCattle,infcUIniSwine,infcUIniCattle,infnA,infcAIniCattle,infnADir,infnAInd,infnAAir,infnAIni,infnASwine,infnACattle,infcAIndCattle,infcAIndSwine,infnADirSwine,infnADirCattle,infnAIndSwine,infnAIndCattle,infnAAirSwine,infnAAirCattle,infnAIniSwine,infnAIniCattle,infcA,infcAIniSwine,infcADir,infcAInd,infcAAir,infcAIni,infcASwine,infcACattle,expnU,expcADirSwine,expnUDir,expnUInd,expnUAir,expcAAirCattle,expnUSwine,expnUCattle,expcADirCattle,adqcU,expnUDirSwine,expnUDirCattle,expnUIndSwine,expnUIndCattle,expnUAirSwine,expnUAirCattle,expcASwine,expcAIndSwine,expcU,adqcUAir,expcUDir,expcUInd,expcUAir,expcAAirSwine,expcUSwine,expcUCattle,adqnUAir,adqnU,expcUDirSwine,expcUDirCattle,expcUIndSwine,expcUIndCattle,expcUAirSwine,expcUAirCattle,adqnUDir,expcAAir,expnA,adqcUInd,expnADir,expnAInd,expnAAir,expcAIndCattle,expnASwine,expnACattle,adqnUInd,expcADir,expnADirSwine,expnADirCattle,expnAIndSwine,expnAIndCattle,expnAAirSwine,expnAAirCattle,expcACattle,expcAInd,expcA,adqcUDir,deswU,deswUSwine,deswUCattle,deswA,deswASwine,deswACattle,deswUMax,deswUMaxDay,deswAMax,deswAMaxDay,deswUTimeMax,deswUTimeAvg,deswUDaysInQueue,deswADaysInQueue

2,1,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,3957,0,0,0,0,460,3497,0,0,1.15683e+06,0,0,0,0,133002,1.02382e+06,3956,0,0,1,0,0,0,1.15617e+06,0,0,657,0,0,0,459,3497,0,0,0,0,1,0,0,0,0,0,0,0,132345,1.02382e+06,0,0,0,0,657,0,0,0,0,0,0,0,,1,,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,,1,0,0,1,1,0,0,52,1,0,0,0,0,0,1,0,52,0,52,0,0,657,52,0,0,0,52,0,0,0,0,0,657,0,52,657,52,0,0,657,52,0,5,156,3,2,0,0,5,0,0,3,3,0,2,0,0,0,260,104,5,0,3,2,0,0,5,0,0,3,3,0,2,0,0,0,2,0,260,1,156,104,0,0,260,0,1,156,156,0,104,0,0,0,0,104,260,2,0,0,0,0,0,0,0,,0,,,,0,0
2,2,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,7914,0,0,0,0,920,6994,0,0,2.31365e+06,0,0,0,0,266004,2.04765e+06,3955,1,0,1,0,0,0,1.15612e+06,52,0,657,0,0,0,458,3497,1,0,0,0,1,0,0,0,0,0,0,0,132293,1.02382e+06,52,0,0,0,657,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,1,1,0,0,52,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,657,52,0,0,657,52,0,6,2283,6,0,0,0,6,0,0,9,6,0,0,0,0,0,2387,104,11,0,9,2,0,0,11,0,0,6,9,0,2,0,0,0,6,0,2127,1,2127,0,0,0,2127,0,0,2283,2127,0,0,0,0,0,0,104,2387,8,0,0,0,0,0,0,0,,0,,,,0,0
2,3,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,11871,0,0,0,0,1380,10491,0,0,3.47048e+06,0,0,0,0,399006,3.07147e+06,3955,1,0,1,0,0,0,1.15612e+06,52,0,657,0,0,0,458,3497,1,0,0,0,1,0,0,0,0,0,0,0,132293,1.02382e+06,52,0,0,0,657,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,1,1,0,0,52,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,657,52,0,0,657,52,0,8,4514,8,0,0,0,8,0,0,17,8,0,0,0,0,0,4618,104,19,0,17,2,0,0,19,0,0,8,17,0,2,0,0,0,8,0,2231,1,2231,0,0,0,2231,0,0,4514,2231,0,0,0,0,0,0,104,4618,16,0,0,0,0,0,0,0,,0,,,,0,0
2,4,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,15828,0,0,0,0,1840,13988,0,0,4.6273e+06,0,0,0,0,532008,4.0953e+06,3955,1,0,1,0,0,0,1.15612e+06,52,0,657,0,0,0,458,3497,1,0,0,0,1,0,0,0,0,0,0,0,132293,1.02382e+06,52,0,0,0,657,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,1,1,0,0,52,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,657,52,0,0,657,52,0,5,4722,4,1,0,0,5,0,0,21,4,0,1,0,0,0,4878,156,24,0,21,3,0,0,24,0,0,4,21,0,3,0,0,0,4,0,260,1,208,52,0,0,260,0,0,4722,208,0,52,0,0,0,0,156,4878,20,0,0,0,0,0,0,0,,0,,,,0,0
2,5,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,19785,0,0,0,0,2300,17485,0,0,5.78413e+06,0,0,0,0,665010,5.11912e+06,3955,1,0,1,0,0,0,1.15612e+06,52,0,657,0,0,0,458,3497,1,0,0,0,1,0,0,0,0,0,0,0,132293,1.02382e+06,52,0,0,0,657,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,0,0,1,1,0,0,52,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,657,52,0,0,657,52,0,5,6797,5,0,0,0,5,0,0,26,5,0,0,0,0,0,6953,156,29,0,26,3,0,0,29,0,0,5,26,0,3,0,0,0,5,0,2075,1,2075,0,0,0,2075,0,0,6797,2075,0,0,0,0,0,0,156,6953,25,0,0,0,0,0,0,0,,0,,,,0,0
2,6,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,23742,0,0,0,0,2760,20982,0,0,6.94096e+06,0,0,0,0,798012,6.14294e+06,3955,1,0,1,0,0,0,1.15612e+06,52,0,657,0,0,0,458,3497,1,0,0,0,1,0,0,0,0,0,0,0,132293,1.02382e+06,52,0,0,0,657,0,0,0,0,0,0,0,,1,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,,2,0,0,1,2,0,0,212,2,0,0,0,0,0,1,0,160,0,160,0,0,0,160,0,0,0,160,0,0,0,0,0,0,0,212,657,212,0,0,657,212,0,3,7061,3,0,0,0,3,0,0,29,3,0,0,0,0,0,7217,156,32,0,29,3,0,0,32,0,0,3,29,0,3,0,0,0,3,0,264,1,264,0,0,0,264,0,0,7061,264,0,0,0,0,0,0,156,7217,28,0,0,0,0,0,0,0,,0,,,,0,0
2,7,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,27699,0,0,0,0,3220,24479,0,0,8.09778e+06,0,0,0,0,931014,7.16677e+06,3954,2,0,1,0,0,0,1.15596e+06,212,0,657,0,0,0,457,3497,2,0,0,0,1,0,0,0,0,0,0,0,132133,1.02382e+06,212,0,0,0,657,0,0,0,0,0,0,0,,1,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,,3,0,0,1,3,0,0,287,3,0,0,0,0,0,1,0,75,0,75,0,0,0,75,0,0,0,75,0,0,0,0,0,0,0,287,657,287,0,0,657,287,0,15,12162,14,1,0,0,15,0,0,43,14,0,1,0,0,0,12478,316,47,0,43,4,0,0,47,0,0,14,43,0,4,0,0,0,13,0,5261,2,5101,160,0,0,5261,0,1,12162,5101,0,160,0,0,0,0,316,12478,41,0,0,0,0,0,0,0,,0,,,,0,0
2,8,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,31656,0,0,0,0,3680,27976,0,0,9.25461e+06,0,0,0,0,1.06402e+06,8.19059e+06,3953,3,0,1,0,0,0,1.15588e+06,287,0,657,0,0,0,456,3497,3,0,0,0,1,0,0,0,0,0,0,0,132058,1.02382e+06,287,0,0,0,657,0,0,0,0,0,0,0,,2,,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,5,,5,0,0,1,5,0,0,1007,5,0,0,0,0,0,1,0,720,0,720,0,0,0,720,0,0,0,720,0,0,0,0,0,0,0,1007,657,1007,0,0,657,1007,0,11,15159,10,1,0,0,11,0,0,54,10,0,1,0,0,0,15527,368,58,0,53,5,0,0,58,0,0,11,53,0,5,0,0,0,10,0,3049,3,2997,52,0,0,3049,0,1,15159,2997,0,52,0,0,0,0,368,15527,51,0,0,0,0,0,0,0,,0,,,,0,0
2,9,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,35613,0,0,0,0,4140,31473,0,0,1.04114e+07,0,0,0,0,1.19702e+06,9.21442e+06,3951,5,0,0,1,0,0,1.15516e+06,1007,0,0,657,0,0,454,3497,5,0,0,0,0,0,1,0,0,0,0,0,131338,1.02382e+06,1007,0,0,0,0,0,657,0,0,0,0,0,,3,,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,8,,8,0,0,1,8,0,0,1982,8,0,0,0,0,0,1,0,975,0,975,0,0,0,975,0,0,0,975,0,0,0,0,0,0,0,1982,657,1982,0,0,657,1982,0,20,21464,20,0,0,0,20,0,0,74,20,0,0,0,0,0,21832,368,78,0,73,5,0,0,78,0,0,20,73,0,5,0,0,0,20,0,6305,3,6305,0,0,0,6305,0,0,21464,6305,0,0,0,0,0,0,368,21832,71,0,0,0,0,0,0,0,,0,,,,0,0
