LOG: HEADERS:
Run,Day,outbreakDuration,versionMajor,versionMinor,versionRelease,tsdUSusc,tsdULat,tsdUSubc,tsdUClin,tsdUNImm,tsdUVImm,tsdUDest,tsdASusc,tsdALat,tsdASubc,tsdAClin,tsdANImm,tsdAVImm,tsdADest,tsdUSuscSwine,tsdUSuscCattle,tsdULatSwine,tsdULatCattle,tsdUSubcSwine,tsdUSubcCattle,tsdUClinSwine,tsdUClinCattle,tsdUNImmSwine,tsdUNImmCattle,tsdUVImmSwine,tsdUVImmCattle,tsdUDestSwine,tsdUDestCattle,tsdASuscSwine,tsdASuscCattle,tsdALatSwine,tsdALatCattle,tsdASubcSwine,tsdASubcCattle,tsdAClinSwine,tsdAClinCattle,tsdANImmSwine,tsdANImmCattle,tsdAVImmSwine,tsdAVImmCattle,tsdADestSwine,tsdADestCattle,diseaseDuration,destrOccurred,firstDestruction,desnADirFwdCattle,firstDestructionRing,firstDestructionDirFwd,firstDestructionIndFwd,firstDestructionDirBack,firstDestructionIndBack,firstDestructionDet,descAIndFwdSwine,desnAIndFwdSwine,descARing,firstDestructionSwine,firstDestructionCattle,descARingCattle,descA,firstDestructionRingSwine,firstDestructionRingCattle,firstDestructionDirFwdSwine,firstDestructionDirFwdCattle,firstDestructionIndFwdSwine,firstDestructionIndFwdCattle,firstDestructionDirBackSwine,firstDestructionDirBackCattle,firstDestructionIndBackSwine,firstDestructionIndBackCattle,firstDestructionDetSwine,firstDestructionDetCattle,descARingSwine,desnADirBackSwine,desnAIndFwdCattle,descAIndFwd,descADirFwd,desnADirBackCattle,desnU,descAIniCattle,desnURing,desnUDirFwd,desnUIndFwd,desnUDirBack,desnUIndBack,desnUDet,desnUIni,descAIniSwine,descADetCattle,desnUSwine,desnUCattle,descACattle,descADirBack,desnURingSwine,desnURingCattle,desnUDirFwdSwine,desnUDirFwdCattle,desnUIndFwdSwine,desnUIndFwdCattle,desnUDirBackSwine,desnUDirBackCattle,desnUIndBackSwine,desnUIndBackCattle,desnUDetSwine,desnUDetCattle,desnUIniSwine,desnUIniCattle,descASwine,desnAIniCattle,descADirFwdSwine,desnAIniSwine,descU,descADetSwine,descURing,descUDirFwd,descUIndFwd,descUDirBack,descUIndBack,descUDet,descUIni,descAIndBackCattle,descAIndBackSwine,descUSwine,descUCattle,descADirFwdCattle,desnADetCattle,descURingSwine,descURingCattle,descUDirFwdSwine,descUDirFwdCattle,descUIndFwdSwine,descUIndFwdCattle,descUDirBackSwine,descUDirBackCattle,descUIndBackSwine,descUIndBackCattle,descUDetSwine,descUDetCattle,descUIniSwine,descUIniCattle,descAIni,desnADetSwine,descADet,desnAIndBackCattle,desnA,descADirBackCattle,desnARing,desnADirFwd,desnAIndFwd,desnADirBack,desnAIndBack,desnADet,desnAIni,descADirBackSwine,descAIndFwdCattle,desnASwine,desnACattle,descAIndBack,desnAIndBackSwine,desnARingSwine,desnARingCattle,desnADirFwdSwine,zoneAreaHighRisk,zoneAreaMediumRisk,zonePerimeterHighRisk,zonePerimeterMediumRisk,numSeparateAreasHighRisk,numSeparateAreasMediumRisk,unitsInZoneHighRisk,unitsInZoneMediumRisk,unitsInZoneBackground,unitsInZoneHighRiskSwine,unitsInZoneHighRiskCattle,unitsInZoneMediumRiskSwine,unitsInZoneMediumRiskCattle,unitsInZoneBackgroundSwine,unitsInZoneBackgroundCattle,unitDaysInZoneHighRisk,unitDaysInZoneMediumRisk,unitDaysInZoneBackground,unitDaysInZoneHighRiskSwine,unitDaysInZoneHighRiskCattle,unitDaysInZoneMediumRiskSwine,unitDaysInZoneMediumRiskCattle,unitDaysInZoneBackgroundSwine,unitDaysInZoneBackgroundCattle,animalDaysInZoneHighRisk,animalDaysInZoneMediumRisk,animalDaysInZoneBackground,animalDaysInZoneHighRiskSwine,animalDaysInZoneHighRiskCattle,animalDaysInZoneMediumRiskSwine,animalDaysInZoneMediumRiskCattle,animalDaysInZoneBackgroundSwine,animalDaysInZoneBackgroundCattle,expnU,expcADirSwine,expnUDir,expnUInd,expnUAir,expcAAirCattle,expnUSwine,expnUCattle,expcADirCattle,adqcU,expnUDirSwine,expnUDirCattle,expnUIndSwine,expnUIndCattle,expnUAirSwine,expnUAirCattle,expcASwine,expcAIndSwine,expcU,adqcUAir,expcUDir,expcUInd,expcUAir,expcAAirSwine,expcUSwine,expcUCattle,adqnUAir,adqnU,expcUDirSwine,expcUDirCattle,expcUIndSwine,expcUIndCattle,expcUAirSwine,expcUAirCattle,adqnUDir,expcAAir,expnA,adqcUInd,expnADir,expnAInd,expnAAir,expcAIndCattle,expnASwine,expnACattle,adqnUInd,expcADir,expnADirSwine,expnADirCattle,expnAIndSwine,expnAIndCattle,expnAAirSwine,expnAAirCattle,expcACattle,expcAInd,expcA,adqcUDir,deswU,deswUSwine,deswUCattle,deswA,deswASwine,deswACattle,deswUMax,deswUMaxDay,deswAMax,deswAMaxDay,deswUTimeMax,deswUTimeAvg,deswUDaysInQueue,deswADaysInQueue,infnU,firstDetAInf,infnUDir,infnUInd,infnUAir,infnUIni,infnUSwine,infnUCattle,infcAAirCattle,infcADirCattle,infnUDirSwine,infnUDirCattle,infnUIndSwine,infnUIndCattle,infnUAirSwine,infnUAirCattle,infnUIniSwine,infnUIniCattle,infcU,firstDetUInf,infcUDir,infcUInd,infcUAir,infcUIni,infcUSwine,infcUCattle,infcAAirSwine,infcADirSwine,infcUDirSwine,infcUDirCattle,infcUIndSwine,infcUIndCattle,infcUAirSwine,infcUAirCattle,infcUIniSwine,infcUIniCattle,infnA,infcAIniCattle,infnADir,infnAInd,infnAAir,infnAIni,infnASwine,infnACattle,infcAIndCattle,infcAIndSwine,infnADirSwine,infnADirCattle,infnAIndSwine,infnAIndCattle,infnAAirSwine,infnAAirCattle,infnAIniSwine,infnAIniCattle,infcA,infcAIniSwine,infcADir,infcAInd,infcAAir,infcAIni,infcASwine,infcACattle

3,1,,3,5,0,3956,0,0,1,0,0,0,1.15617e+06,0,0,657,0,0,0,459,3497,0,0,0,0,1,0,0,0,0,0,0,0,132345,1.02382e+06,0,0,0,0,657,0,0,0,0,0,0,0,,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,3957,0,0,0,0,460,3497,0,0,1.15683e+06,0,0,0,0,133002,1.02382e+06,5,208,4,1,0,0,5,0,0,4,4,0,1,0,0,0,260,52,5,0,4,1,0,0,5,0,0,4,4,0,1,0,0,0,3,0,260,1,208,52,0,0,260,0,1,208,208,0,52,0,0,0,0,52,260,3,0,0,0,0,0,0,0,,0,,,,0,0,1,,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,,1,0,0,1,1,0,0,52,1,0,0,0,0,0,1,0,52,0,52,0,0,657,52,0,0,0,52,0,0,0,0,0,657,0,52,657,52,0,0,657,52,0
3,2,,3,5,0,3955,1,0,1,0,0,0,1.15612e+06,52,0,657,0,0,0,458,3497,1,0,0,0,1,0,0,0,0,0,0,0,132293,1.02382e+06,52,0,0,0,657,0,0,0,0,0,0,0,,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,7914,0,0,0,0,920,6994,0,0,2.31365e+06,0,0,0,0,266004,2.04765e+06,6,1871,6,0,0,0,6,0,0,9,6,0,0,0,0,0,1923,52,11,0,10,1,0,0,11,0,0,5,10,0,1,0,0,0,5,0,1663,1,1663,0,0,0,1663,0,0,1871,1663,0,0,0,0,0,0,52,1923,8,0,0,0,0,0,0,0,,0,,,,0,0,1,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,,2,0,0,1,2,0,0,245,2,0,0,0,0,0,1,0,193,0,193,0,0,0,193,0,0,0,193,0,0,0,0,0,0,0,245,657,245,0,0,657,245,0
3,3,,3,5,0,3954,2,0,1,0,0,0,1.15592e+06,245,0,657,0,0,0,457,3497,2,0,0,0,1,0,0,0,0,0,0,0,132100,1.02382e+06,245,0,0,0,657,0,0,0,0,0,0,0,,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,11871,0,0,0,0,1380,10491,0,0,3.47048e+06,0,0,0,0,399006,3.07147e+06,11,4981,9,2,0,0,11,0,0,18,9,0,2,0,0,0,5137,156,22,0,19,3,0,0,22,0,0,9,19,0,3,0,0,0,9,0,3214,1,3110,104,0,0,3214,0,0,4981,3110,0,104,0,0,0,0,156,5137,17,0,0,0,0,0,0,0,,0,,,,0,0,1,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,,3,0,0,1,3,0,0,371,3,0,0,0,0,0,1,0,126,0,126,0,0,0,126,0,0,0,126,0,0,0,0,0,0,0,371,657,371,0,0,657,371,0
3,4,,3,5,0,3953,3,0,1,0,0,0,1.1558e+06,371,0,657,0,0,0,456,3497,3,0,0,0,1,0,0,0,0,0,0,0,131974,1.02382e+06,371,0,0,0,657,0,0,0,0,0,0,0,,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,15828,0,0,0,0,1840,13988,0,0,4.6273e+06,0,0,0,0,532008,4.0953e+06,9,7954,8,1,0,0,9,0,0,27,8,0,1,0,0,0,8162,208,31,0,27,4,0,0,31,0,0,9,27,0,4,0,0,0,8,0,3025,2,2973,52,0,0,3025,0,1,7954,2973,0,52,0,0,0,0,208,8162,25,0,0,0,0,0,0,0,,0,,,,0,0,1,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,,4,0,0,1,4,0,0,486,4,0,0,0,0,0,1,0,115,0,115,0,0,0,115,0,0,0,115,0,0,0,0,0,0,0,486,657,486,0,0,657,486,0
3,5,,3,5,0,3952,4,0,1,0,0,0,1.15568e+06,486,0,657,0,0,0,455,3497,4,0,0,0,1,0,0,0,0,0,0,0,131859,1.02382e+06,486,0,0,0,657,0,0,0,0,0,0,0,,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,19785,0,0,0,0,2300,17485,0,0,5.78413e+06,0,0,0,0,665010,5.11912e+06,18,11308,16,2,0,0,18,0,0,43,16,0,2,0,0,0,11761,453,49,0,43,6,0,0,49,0,0,16,43,0,6,0,0,0,15,0,3599,3,3354,245,0,0,3599,0,1,11308,3354,0,245,0,0,0,0,453,11761,40,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,4,0,0,1,4,0,0,486,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,657,486,0,0,657,486,0
3,6,,3,5,0,3952,4,0,1,0,0,0,1.15568e+06,486,0,657,0,0,0,455,3497,4,0,0,0,1,0,0,0,0,0,0,0,131859,1.02382e+06,486,0,0,0,657,0,0,0,0,0,0,0,,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,23742,0,0,0,0,2760,20982,0,0,6.94096e+06,0,0,0,0,798012,6.14294e+06,19,15063,18,1,0,0,19,0,0,61,18,0,1,0,0,0,15568,505,68,0,61,7,0,0,68,0,0,18,61,0,7,0,0,0,17,0,3807,4,3755,52,0,0,3807,0,1,15063,3755,0,52,0,0,0,0,505,15568,57,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,4,0,0,1,4,0,0,486,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,657,486,0,0,657,486,0
3,7,,3,5,0,3952,4,0,1,0,0,0,1.15568e+06,486,0,657,0,0,0,455,3497,4,0,0,0,1,0,0,0,0,0,0,0,131859,1.02382e+06,486,0,0,0,657,0,0,0,0,0,0,0,,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,27699,0,0,0,0,3220,24479,0,0,8.09778e+06,0,0,0,0,931014,7.16677e+06,20,17968,18,2,0,0,20,0,0,79,18,0,2,0,0,0,18781,813,88,0,79,9,0,0,88,0,0,18,79,0,9,0,0,0,18,0,3213,4,2905,308,0,0,3213,0,0,17968,2905,0,308,0,0,0,0,813,18781,75,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,4,0,0,1,4,0,0,486,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,657,486,0,0,657,486,0
3,8,,3,5,0,3952,4,0,1,0,0,0,1.15568e+06,486,0,657,0,0,0,455,3497,4,0,0,0,1,0,0,0,0,0,0,0,131859,1.02382e+06,486,0,0,0,657,0,0,0,0,0,0,0,,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,31656,0,0,0,0,3680,27976,0,0,9.25461e+06,0,0,0,0,1.06402e+06,8.19059e+06,16,21322,16,0,0,0,16,0,0,94,16,0,0,0,0,0,22135,813,104,0,95,9,0,0,104,0,0,15,95,0,9,0,0,0,15,0,3354,4,3354,0,0,0,3354,0,0,21322,3354,0,0,0,0,0,0,813,22135,90,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,4,0,0,1,4,0,0,486,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,657,486,0,0,657,486,0
3,9,,3,5,0,3952,4,0,1,0,0,0,1.15568e+06,486,0,657,0,0,0,455,3497,4,0,0,0,1,0,0,0,0,0,0,0,131859,1.02382e+06,486,0,0,0,657,0,0,0,0,0,0,0,,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,35613,0,0,0,0,4140,31473,0,0,1.04114e+07,0,0,0,0,1.19702e+06,9.21442e+06,16,24850,16,0,0,0,16,0,0,109,16,0,0,0,0,0,25663,813,120,0,111,9,0,0,120,0,0,15,111,0,9,0,0,0,15,0,3528,4,3528,0,0,0,3528,0,0,24850,3528,0,0,0,0,0,0,813,25663,105,0,0,0,0,0,0,0,,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,4,0,0,1,4,0,0,486,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,657,486,0,0,657,486,0
