LOG: HEADERS:
Run,Day,outbreakDuration,versionMajor,versionMinor,versionRelease,destrOccurred,firstDestruction,desnADirFwdCattle,firstDestructionRing,firstDestructionDirFwd,firstDestructionIndFwd,firstDestructionDirBack,firstDestructionIndBack,firstDestructionDet,descAIndFwdSwine,desnAIndFwdSwine,descARing,firstDestructionSwine,firstDestructionCattle,descARingCattle,descA,firstDestructionRingSwine,firstDestructionRingCattle,firstDestructionDirFwdSwine,firstDestructionDirFwdCattle,firstDestructionIndFwdSwine,firstDestructionIndFwdCattle,firstDestructionDirBackSwine,firstDestructionDirBackCattle,firstDestructionIndBackSwine,firstDestructionIndBackCattle,firstDestructionDetSwine,firstDestructionDetCattle,descARingSwine,desnADirBackSwine,desnAIndFwdCattle,descAIndFwd,descADirFwd,desnADirBackCattle,desnU,descAIniCattle,desnURing,desnUDirFwd,desnUIndFwd,desnUDirBack,desnUIndBack,desnUDet,desnUIni,descAIniSwine,descADetCattle,desnUSwine,desnUCattle,descACattle,descADirBack,desnURingSwine,desnURingCattle,desnUDirFwdSwine,desnUDirFwdCattle,desnUIndFwdSwine,desnUIndFwdCattle,desnUDirBackSwine,desnUDirBackCattle,desnUIndBackSwine,desnUIndBackCattle,desnUDetSwine,desnUDetCattle,desnUIniSwine,desnUIniCattle,descASwine,desnAIniCattle,descADirFwdSwine,desnAIniSwine,descU,descADetSwine,descURing,descUDirFwd,descUIndFwd,descUDirBack,descUIndBack,descUDet,descUIni,descAIndBackCattle,descAIndBackSwine,descUSwine,descUCattle,descADirFwdCattle,desnADetCattle,descURingSwine,descURingCattle,descUDirFwdSwine,descUDirFwdCattle,descUIndFwdSwine,descUIndFwdCattle,descUDirBackSwine,descUDirBackCattle,descUIndBackSwine,descUIndBackCattle,descUDetSwine,descUDetCattle,descUIniSwine,descUIniCattle,descAIni,desnADetSwine,descADet,desnAIndBackCattle,desnA,descADirBackCattle,desnARing,desnADirFwd,desnAIndFwd,desnADirBack,desnAIndBack,desnADet,desnAIni,descADirBackSwine,descAIndFwdCattle,desnASwine,desnACattle,descAIndBack,desnAIndBackSwine,desnARingSwine,desnARingCattle,desnADirFwdSwine,expnU,expcADirSwine,expnUDir,expnUInd,expnUAir,expcAAirCattle,expnUSwine,expnUCattle,expcADirCattle,adqcU,expnUDirSwine,expnUDirCattle,expnUIndSwine,expnUIndCattle,expnUAirSwine,expnUAirCattle,expcASwine,expcAIndSwine,expcU,adqcUAir,expcUDir,expcUInd,expcUAir,expcAAirSwine,expcUSwine,expcUCattle,adqnUAir,adqnU,expcUDirSwine,expcUDirCattle,expcUIndSwine,expcUIndCattle,expcUAirSwine,expcUAirCattle,adqnUDir,expcAAir,expnA,adqcUInd,expnADir,expnAInd,expnAAir,expcAIndCattle,expnASwine,expnACattle,adqnUInd,expcADir,expnADirSwine,expnADirCattle,expnAIndSwine,expnAIndCattle,expnAAirSwine,expnAAirCattle,expcACattle,expcAInd,expcA,adqcUDir,tsdUSusc,tsdULat,tsdUSubc,tsdUClin,tsdUNImm,tsdUVImm,tsdUDest,tsdASusc,tsdALat,tsdASubc,tsdAClin,tsdANImm,tsdAVImm,tsdADest,tsdUSuscSwine,tsdUSuscCattle,tsdULatSwine,tsdULatCattle,tsdUSubcSwine,tsdUSubcCattle,tsdUClinSwine,tsdUClinCattle,tsdUNImmSwine,tsdUNImmCattle,tsdUVImmSwine,tsdUVImmCattle,tsdUDestSwine,tsdUDestCattle,tsdASuscSwine,tsdASuscCattle,tsdALatSwine,tsdALatCattle,tsdASubcSwine,tsdASubcCattle,tsdAClinSwine,tsdAClinCattle,tsdANImmSwine,tsdANImmCattle,tsdAVImmSwine,tsdAVImmCattle,tsdADestSwine,tsdADestCattle,diseaseDuration,deswU,deswUSwine,deswUCattle,deswA,deswASwine,deswACattle,deswUMax,deswUMaxDay,deswAMax,deswAMaxDay,deswUTimeMax,deswUTimeAvg,deswUDaysInQueue,deswADaysInQueue,zoneAreaHighRisk,zoneAreaMediumRisk,zonePerimeterHighRisk,zonePerimeterMediumRisk,numSeparateAreasHighRisk,numSeparateAreasMediumRisk,unitsInZoneHighRisk,unitsInZoneMediumRisk,unitsInZoneBackground,unitsInZoneHighRiskSwine,unitsInZoneHighRiskCattle,unitsInZoneMediumRiskSwine,unitsInZoneMediumRiskCattle,unitsInZoneBackgroundSwine,unitsInZoneBackgroundCattle,unitDaysInZoneHighRisk,unitDaysInZoneMediumRisk,unitDaysInZoneBackground,unitDaysInZoneHighRiskSwine,unitDaysInZoneHighRiskCattle,unitDaysInZoneMediumRiskSwine,unitDaysInZoneMediumRiskCattle,unitDaysInZoneBackgroundSwine,unitDaysInZoneBackgroundCattle,animalDaysInZoneHighRisk,animalDaysInZoneMediumRisk,animalDaysInZoneBackground,animalDaysInZoneHighRiskSwine,animalDaysInZoneHighRiskCattle,animalDaysInZoneMediumRiskSwine,animalDaysInZoneMediumRiskCattle,animalDaysInZoneBackgroundSwine,animalDaysInZoneBackgroundCattle,infnU,firstDetAInf,infnUDir,infnUInd,infnUAir,infnUIni,infnUSwine,infnUCattle,infcAAirCattle,infcADirCattle,infnUDirSwine,infnUDirCattle,infnUIndSwine,infnUIndCattle,infnUAirSwine,infnUAirCattle,infnUIniSwine,infnUIniCattle,infcU,firstDetUInf,infcUDir,infcUInd,infcUAir,infcUIni,infcUSwine,infcUCattle,infcAAirSwine,infcADirSwine,infcUDirSwine,infcUDirCattle,infcUIndSwine,infcUIndCattle,infcUAirSwine,infcUAirCattle,infcUIniSwine,infcUIniCattle,infnA,infcAIniCattle,infnADir,infnAInd,infnAAir,infnAIni,infnASwine,infnACattle,infcAIndCattle,infcAIndSwine,infnADirSwine,infnADirCattle,infnAIndSwine,infnAIndCattle,infnAAirSwine,infnAAirCattle,infnAIniSwine,infnAIniCattle,infcA,infcAIniSwine,infcADir,infcAInd,infcAAir,infcAIni,infcASwine,infcACattle

4,1,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,312,6,1,0,0,7,0,0,7,6,0,1,0,0,0,472,160,7,0,6,1,0,0,7,0,0,7,6,0,1,0,0,0,6,0,472,1,312,160,0,0,472,0,1,312,312,0,160,0,0,0,0,160,472,6,3956,0,0,1,0,0,0,1.15617e+06,0,0,657,0,0,0,459,3497,0,0,0,0,1,0,0,0,0,0,0,0,132345,1.02382e+06,0,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,3957,0,0,0,0,460,3497,0,0,1.15683e+06,0,0,0,0,133002,1.02382e+06,2,,1,1,0,1,2,0,0,0,1,0,1,0,0,0,1,0,2,,1,1,0,1,2,0,0,52,1,0,1,0,0,0,1,0,212,0,52,160,0,657,212,0,0,160,52,0,160,0,0,0,657,0,212,657,52,160,0,657,212,0
4,2,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2678,7,1,0,0,8,0,0,12,7,0,1,0,0,0,2998,320,15,0,13,2,0,0,15,0,0,5,13,0,2,0,0,0,5,0,2526,1,2366,160,0,0,2526,0,0,2678,2366,0,160,0,0,0,0,320,2998,11,3954,2,0,1,0,0,0,1.15596e+06,212,0,657,0,0,0,457,3497,2,0,0,0,1,0,0,0,0,0,0,0,132133,1.02382e+06,212,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,7914,0,0,0,0,920,6994,0,0,2.31365e+06,0,0,0,0,266004,2.04765e+06,1,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,,2,1,0,1,3,0,0,245,2,0,1,0,0,0,1,0,193,0,193,0,0,0,193,0,0,160,193,0,0,0,0,0,0,0,405,657,245,160,0,657,405,0
4,3,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4019,9,0,0,0,9,0,0,21,9,0,0,0,0,0,4339,320,24,0,22,2,0,0,24,0,0,9,22,0,2,0,0,0,9,0,1341,1,1341,0,0,0,1341,0,0,4019,1341,0,0,0,0,0,0,320,4339,20,3953,3,0,1,0,0,0,1.15576e+06,405,0,657,0,0,0,456,3497,3,0,0,0,1,0,0,0,0,0,0,0,131940,1.02382e+06,405,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,11871,0,0,0,0,1380,10491,0,0,3.47048e+06,0,0,0,0,399006,3.07147e+06,2,,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,5,,4,1,0,1,5,0,0,446,4,0,1,0,0,0,1,0,201,0,201,0,0,0,201,0,0,160,201,0,0,0,0,0,0,0,606,657,446,160,0,657,606,0
4,4,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5267,7,2,0,0,9,0,0,28,7,0,2,0,0,0,5691,424,33,0,29,4,0,0,33,0,0,7,29,0,4,0,0,0,5,0,1352,3,1248,104,0,0,1352,0,2,5267,1248,0,104,0,0,0,0,424,5691,25,3951,5,0,1,0,0,0,1.15556e+06,606,0,657,0,0,0,454,3497,5,0,0,0,1,0,0,0,0,0,0,0,131739,1.02382e+06,606,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,15828,0,0,0,0,1840,13988,0,0,4.6273e+06,0,0,0,0,532008,4.0953e+06,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,,4,1,0,1,5,0,0,446,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,606,657,446,160,0,657,606,0
4,5,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9533,14,1,0,0,15,0,0,43,14,0,1,0,0,0,10009,476,48,0,43,5,0,0,48,0,0,15,43,0,5,0,0,0,14,0,4318,4,4266,52,0,0,4318,0,1,9533,4266,0,52,0,0,0,0,476,10009,39,3951,5,0,1,0,0,0,1.15556e+06,606,0,657,0,0,0,454,3497,5,0,0,0,1,0,0,0,0,0,0,0,131739,1.02382e+06,606,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,19785,0,0,0,0,2300,17485,0,0,5.78413e+06,0,0,0,0,665010,5.11912e+06,3,,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,8,,7,1,0,1,8,0,0,1314,7,0,1,0,0,0,1,0,868,0,868,0,0,0,868,0,0,160,868,0,0,0,0,0,0,0,1474,657,1314,160,0,657,1474,0
4,6,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14957,26,3,0,0,29,0,0,68,26,0,3,0,0,0,15760,803,77,0,69,8,0,0,77,0,0,25,69,0,8,0,0,0,24,0,5751,5,5424,327,0,0,5751,0,1,14957,5424,0,327,0,0,0,0,803,15760,63,3948,8,0,1,0,0,0,1.1547e+06,1474,0,657,0,0,0,451,3497,8,0,0,0,1,0,0,0,0,0,0,0,130871,1.02382e+06,1474,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,23742,0,0,0,0,2760,20982,0,0,6.94096e+06,0,0,0,0,798012,6.14294e+06,6,,6,0,0,0,6,0,0,0,6,0,0,0,0,0,0,0,14,,13,1,0,1,14,0,0,2999,13,0,1,0,0,0,1,0,1685,0,1685,0,0,0,1685,0,0,160,1685,0,0,0,0,0,0,0,3159,657,2999,160,0,657,3159,0
4,7,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,27231,43,0,0,0,43,0,0,111,43,0,0,0,0,0,28034,803,120,0,112,8,0,0,120,0,0,43,112,0,8,0,0,0,43,0,12274,5,12274,0,0,0,12274,0,0,27231,12274,0,0,0,0,0,0,803,28034,106,3942,14,0,1,0,0,0,1.15301e+06,3159,0,657,0,0,0,445,3497,14,0,0,0,1,0,0,0,0,0,0,0,129186,1.02382e+06,3159,0,0,0,657,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,27699,0,0,0,0,3220,24479,0,0,8.09778e+06,0,0,0,0,931014,7.16677e+06,4,,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,18,,17,1,0,1,18,0,0,4660,17,0,1,0,0,0,1,0,1661,0,1661,0,0,0,1661,0,0,160,1661,0,0,0,0,0,0,0,4820,657,4660,160,0,657,4820,0
4,8,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,42457,53,0,0,0,53,0,0,160,53,0,0,0,0,0,43260,803,173,0,165,8,0,0,173,0,0,49,165,0,8,0,0,0,49,0,15226,5,15226,0,0,0,15226,0,0,42457,15226,0,0,0,0,0,0,803,43260,155,3938,18,0,0,1,0,0,1.15135e+06,4820,0,0,657,0,0,441,3497,18,0,0,0,0,0,1,0,0,0,0,0,127525,1.02382e+06,4820,0,0,0,0,0,657,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,31656,0,0,0,0,3680,27976,0,0,9.25461e+06,0,0,0,0,1.06402e+06,8.19059e+06,3,,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,21,,20,1,0,1,21,0,0,5643,20,0,1,0,0,0,1,0,983,0,983,0,0,0,983,0,0,160,983,0,0,0,0,0,0,0,5803,657,5643,160,0,657,5803,0
4,9,,3,5,0,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,57069,62,0,0,0,62,0,0,217,62,0,0,0,0,0,57872,803,235,0,227,8,0,0,235,0,0,57,227,0,8,0,0,0,57,0,14612,5,14612,0,0,0,14612,0,0,57069,14612,0,0,0,0,0,0,803,57872,212,3935,21,0,0,1,0,0,1.15037e+06,5803,0,0,657,0,0,438,3497,21,0,0,0,0,0,1,0,0,0,0,0,126542,1.02382e+06,5803,0,0,0,0,0,657,0,0,0,0,0,,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,35613,0,0,0,0,4140,31473,0,0,1.04114e+07,0,0,0,0,1.19702e+06,9.21442e+06,5,,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,26,,25,1,0,1,26,0,0,6472,25,0,1,0,0,0,1,0,829,0,829,0,0,0,829,0,0,160,829,0,0,0,0,0,0,0,6632,657,6472,160,0,657,6632,0
