LOG: HEADERS:
Run,Day,outbreakDuration,versionMajor,versionMinor,versionRelease,infnU,firstDetAInf,infnUDir,infnUInd,infnUAir,infnUIni,infnUSwine,infnUCattle,infcAAirCattle,infcADirCattle,infnUDirSwine,infnUDirCattle,infnUIndSwine,infnUIndCattle,infnUAirSwine,infnUAirCattle,infnUIniSwine,infnUIniCattle,infcU,firstDetUInf,infcUDir,infcUInd,infcUAir,infcUIni,infcUSwine,infcUCattle,infcAAirSwine,infcADirSwine,infcUDirSwine,infcUDirCattle,infcUIndSwine,infcUIndCattle,infcUAirSwine,infcUAirCattle,infcUIniSwine,infcUIniCattle,infnA,infcAIniCattle,infnADir,infnAInd,infnAAir,infnAIni,infnASwine,infnACattle,infcAIndCattle,infcAIndSwine,infnADirSwine,infnADirCattle,infnAIndSwine,infnAIndCattle,infnAAirSwine,infnAAirCattle,infnAIniSwine,infnAIniCattle,infcA,infcAIniSwine,infcADir,infcAInd,infcAAir,infcAIni,infcASwine,infcACattle,deswU,deswUSwine,deswUCattle,deswA,deswASwine,deswACattle,deswUMax,deswUMaxDay,deswAMax,deswAMaxDay,deswUTimeMax,deswUTimeAvg,deswUDaysInQueue,deswADaysInQueue,zoneAreaHighRisk,zoneAreaMediumRisk,zonePerimeterHighRisk,zonePerimeterMediumRisk,numSeparateAreasHighRisk,numSeparateAreasMediumRisk,unitsInZoneHighRisk,unitsInZoneMediumRisk,unitsInZoneBackground,unitsInZoneHighRiskSwine,unitsInZoneHighRiskCattle,unitsInZoneMediumRiskSwine,unitsInZoneMediumRiskCattle,unitsInZoneBackgroundSwine,unitsInZoneBackgroundCattle,unitDaysInZoneHighRisk,unitDaysInZoneMediumRisk,unitDaysInZoneBackground,unitDaysInZoneHighRiskSwine,unitDaysInZoneHighRiskCattle,unitDaysInZoneMediumRiskSwine,unitDaysInZoneMediumRiskCattle,unitDaysInZoneBackgroundSwine,unitDaysInZoneBackgroundCattle,animalDaysInZoneHighRisk,animalDaysInZoneMediumRisk,animalDaysInZoneBackground,animalDaysInZoneHighRiskSwine,animalDaysInZoneHighRiskCattle,animalDaysInZoneMediumRiskSwine,animalDaysInZoneMediumRiskCattle,animalDaysInZoneBackgroundSwine,animalDaysInZoneBackgroundCattle,destrOccurred,firstDestruction,desnADirFwdCattle,firstDestructionRing,firstDestructionDirFwd,firstDestructionIndFwd,firstDestructionDirBack,firstDestructionIndBack,firstDestructionDet,descAIndFwdSwine,desnAIndFwdSwine,descARing,firstDestructionSwine,firstDestructionCattle,descARingCattle,descA,firstDestructionRingSwine,firstDestructionRingCattle,firstDestructionDirFwdSwine,firstDestructionDirFwdCattle,firstDestructionIndFwdSwine,firstDestructionIndFwdCattle,firstDestructionDirBackSwine,firstDestructionDirBackCattle,firstDestructionIndBackSwine,firstDestructionIndBackCattle,firstDestructionDetSwine,firstDestructionDetCattle,descARingSwine,desnADirBackSwine,desnAIndFwdCattle,descAIndFwd,descADirFwd,desnADirBackCattle,desnU,descAIniCattle,desnURing,desnUDirFwd,desnUIndFwd,desnUDirBack,desnUIndBack,desnUDet,desnUIni,descAIniSwine,descADetCattle,desnUSwine,desnUCattle,descACattle,descADirBack,desnURingSwine,desnURingCattle,desnUDirFwdSwine,desnUDirFwdCattle,desnUIndFwdSwine,desnUIndFwdCattle,desnUDirBackSwine,desnUDirBackCattle,desnUIndBackSwine,desnUIndBackCattle,desnUDetSwine,desnUDetCattle,desnUIniSwine,desnUIniCattle,descASwine,desnAIniCattle,descADirFwdSwine,desnAIniSwine,descU,descADetSwine,descURing,descUDirFwd,descUIndFwd,descUDirBack,descUIndBack,descUDet,descUIni,descAIndBackCattle,descAIndBackSwine,descUSwine,descUCattle,descADirFwdCattle,desnADetCattle,descURingSwine,descURingCattle,descUDirFwdSwine,descUDirFwdCattle,descUIndFwdSwine,descUIndFwdCattle,descUDirBackSwine,descUDirBackCattle,descUIndBackSwine,descUIndBackCattle,descUDetSwine,descUDetCattle,descUIniSwine,descUIniCattle,descAIni,desnADetSwine,descADet,desnAIndBackCattle,desnA,descADirBackCattle,desnARing,desnADirFwd,desnAIndFwd,desnADirBack,desnAIndBack,desnADet,desnAIni,descADirBackSwine,descAIndFwdCattle,desnASwine,desnACattle,descAIndBack,desnAIndBackSwine,desnARingSwine,desnARingCattle,desnADirFwdSwine,expnU,expcADirSwine,expnUDir,expnUInd,expnUAir,expcAAirCattle,expnUSwine,expnUCattle,expcADirCattle,adqcU,expnUDirSwine,expnUDirCattle,expnUIndSwine,expnUIndCattle,expnUAirSwine,expnUAirCattle,expcASwine,expcAIndSwine,expcU,adqcUAir,expcUDir,expcUInd,expcUAir,expcAAirSwine,expcUSwine,expcUCattle,adqnUAir,adqnU,expcUDirSwine,expcUDirCattle,expcUIndSwine,expcUIndCattle,expcUAirSwine,expcUAirCattle,adqnUDir,expcAAir,expnA,adqcUInd,expnADir,expnAInd,expnAAir,expcAIndCattle,expnASwine,expnACattle,adqnUInd,expcADir,expnADirSwine,expnADirCattle,expnAIndSwine,expnAIndCattle,expnAAirSwine,expnAAirCattle,expcACattle,expcAInd,expcA,adqcUDir,tsdUSusc,tsdULat,tsdUSubc,tsdUClin,tsdUNImm,tsdUVImm,tsdUDest,tsdASusc,tsdALat,tsdASubc,tsdAClin,tsdANImm,tsdAVImm,tsdADest,tsdUSuscSwine,tsdUSuscCattle,tsdULatSwine,tsdULatCattle,tsdUSubcSwine,tsdUSubcCattle,tsdUClinSwine,tsdUClinCattle,tsdUNImmSwine,tsdUNImmCattle,tsdUVImmSwine,tsdUVImmCattle,tsdUDestSwine,tsdUDestCattle,tsdASuscSwine,tsdASuscCattle,tsdALatSwine,tsdALatCattle,tsdASubcSwine,tsdASubcCattle,tsdAClinSwine,tsdAClinCattle,tsdANImmSwine,tsdANImmCattle,tsdAVImmSwine,tsdAVImmCattle,tsdADestSwine,tsdADestCattle,diseaseDuration

5,1,,3,5,0,2,,2,0,0,1,2,0,0,0,2,0,0,0,0,0,1,0,2,,2,0,0,1,2,0,0,212,2,0,0,0,0,0,1,0,212,0,212,0,0,657,212,0,0,0,212,0,0,0,0,0,657,0,212,657,212,0,0,657,212,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,3957,0,0,0,0,460,3497,0,0,1.15683e+06,0,0,0,0,133002,1.02382e+06,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,212,2,0,0,0,2,0,0,2,2,0,0,0,0,0,212,0,2,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,2,0,212,0,212,0,0,0,212,0,0,212,212,0,0,0,0,0,0,0,212,2,3956,0,0,1,0,0,0,1.15617e+06,0,0,657,0,0,0,459,3497,0,0,0,0,1,0,0,0,0,0,0,0,132345,1.02382e+06,0,0,0,0,657,0,0,0,0,0,0,0,
5,2,,3,5,0,1,,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,,3,0,0,1,3,0,0,287,3,0,0,0,0,0,1,0,75,0,75,0,0,0,75,0,0,0,75,0,0,0,0,0,0,0,287,657,287,0,0,657,287,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,7914,0,0,0,0,920,6994,0,0,2.31365e+06,0,0,0,0,266004,2.04765e+06,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,5290,14,0,0,0,14,0,0,14,14,0,0,0,0,0,5290,0,16,0,16,0,0,0,16,0,0,12,16,0,0,0,0,0,12,0,5078,0,5078,0,0,0,5078,0,0,5290,5078,0,0,0,0,0,0,0,5290,14,3954,2,0,1,0,0,0,1.15596e+06,212,0,657,0,0,0,457,3497,2,0,0,0,1,0,0,0,0,0,0,0,132133,1.02382e+06,212,0,0,0,657,0,0,0,0,0,0,0,
5,3,,3,5,0,3,,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,6,,6,0,0,1,6,0,0,1299,6,0,0,0,0,0,1,0,1012,0,1012,0,0,0,1012,0,0,0,1012,0,0,0,0,0,0,0,1299,657,1299,0,0,657,1299,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,11871,0,0,0,0,1380,10491,0,0,3.47048e+06,0,0,0,0,399006,3.07147e+06,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7893,9,1,0,0,10,0,0,24,9,0,1,0,0,0,8053,160,26,0,25,1,0,0,26,0,0,10,25,0,1,0,0,0,9,0,2763,1,2603,160,0,0,2763,0,1,7893,2603,0,160,0,0,0,0,160,8053,23,3953,3,0,1,0,0,0,1.15588e+06,287,0,657,0,0,0,456,3497,3,0,0,0,1,0,0,0,0,0,0,0,132058,1.02382e+06,287,0,0,0,657,0,0,0,0,0,0,0,
5,4,,3,5,0,5,,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,11,,11,0,0,1,11,0,0,2482,11,0,0,0,0,0,1,0,1183,0,1183,0,0,0,1183,0,0,0,1183,0,0,0,0,0,0,0,2482,657,2482,0,0,657,2482,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,15828,0,0,0,0,1840,13988,0,0,4.6273e+06,0,0,0,0,532008,4.0953e+06,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,13971,17,3,0,0,20,0,0,41,17,0,3,0,0,0,14503,532,46,0,42,4,0,0,46,0,0,17,42,0,4,0,0,0,16,0,6450,2,6078,372,0,0,6450,0,1,13971,6078,0,372,0,0,0,0,532,14503,39,3950,6,0,1,0,0,0,1.15487e+06,1299,0,657,0,0,0,453,3497,6,0,0,0,1,0,0,0,0,0,0,0,131046,1.02382e+06,1299,0,0,0,657,0,0,0,0,0,0,0,
5,5,,3,5,0,3,,3,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,14,,14,0,0,1,14,0,0,2744,14,0,0,0,0,0,1,0,262,0,262,0,0,0,262,0,0,0,262,0,0,0,0,0,0,0,2744,657,2744,0,0,657,2744,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,19785,0,0,0,0,2300,17485,0,0,5.78413e+06,0,0,0,0,665010,5.11912e+06,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,18376,32,0,0,0,32,0,0,72,32,0,0,0,0,0,18908,532,78,0,74,4,0,0,78,0,0,31,74,0,4,0,0,0,31,0,4405,2,4405,0,0,0,4405,0,0,18376,4405,0,0,0,0,0,0,532,18908,70,3945,11,0,1,0,0,0,1.15369e+06,2482,0,657,0,0,0,448,3497,11,0,0,0,1,0,0,0,0,0,0,0,129863,1.02382e+06,2482,0,0,0,657,0,0,0,0,0,0,0,
5,6,,3,5,0,2,,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,16,,16,0,0,1,16,0,0,3346,16,0,0,0,0,0,1,0,602,0,602,0,0,0,602,0,0,0,602,0,0,0,0,0,0,0,3346,657,3346,0,0,657,3346,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,23742,0,0,0,0,2760,20982,0,0,6.94096e+06,0,0,0,0,798012,6.14294e+06,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,24081,29,1,0,0,30,0,0,100,29,0,1,0,0,0,24665,584,108,0,103,5,0,0,108,0,0,28,103,0,5,0,0,0,28,0,5757,2,5705,52,0,0,5757,0,0,24081,5705,0,52,0,0,0,0,584,24665,98,3942,14,0,1,0,0,0,1.15342e+06,2744,0,657,0,0,0,445,3497,14,0,0,0,1,0,0,0,0,0,0,0,129601,1.02382e+06,2744,0,0,0,657,0,0,0,0,0,0,0,
5,7,,3,5,0,4,,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,20,,20,0,0,1,20,0,0,4570,20,0,0,0,0,0,1,0,1224,0,1224,0,0,0,1224,0,0,0,1224,0,0,0,0,0,0,0,4570,657,4570,0,0,657,4570,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,27699,0,0,0,0,3220,24479,0,0,8.09778e+06,0,0,0,0,931014,7.16677e+06,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,35044,42,0,0,0,42,0,0,140,42,0,0,0,0,0,35628,584,150,0,145,5,0,0,150,0,0,40,145,0,5,0,0,0,40,0,10963,2,10963,0,0,0,10963,0,0,35044,10963,0,0,0,0,0,0,584,35628,138,3940,16,0,1,0,0,0,1.15282e+06,3346,0,657,0,0,0,443,3497,16,0,0,0,1,0,0,0,0,0,0,0,128999,1.02382e+06,3346,0,0,0,657,0,0,0,0,0,0,0,
5,8,,3,5,0,5,,5,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,25,,25,0,0,1,25,0,0,6297,25,0,0,0,0,0,1,0,1727,0,1727,0,0,0,1727,0,0,0,1727,0,0,0,0,0,0,0,6297,657,6297,0,0,657,6297,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,31656,0,0,0,0,3680,27976,0,0,9.25461e+06,0,0,0,0,1.06402e+06,8.19059e+06,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,52076,62,0,0,0,62,0,0,199,62,0,0,0,0,0,52660,584,212,0,207,5,0,0,212,0,0,59,207,0,5,0,0,0,59,0,17032,2,17032,0,0,0,17032,0,0,52076,17032,0,0,0,0,0,0,584,52660,197,3936,20,0,1,0,0,0,1.1516e+06,4570,0,657,0,0,0,439,3497,20,0,0,0,1,0,0,0,0,0,0,0,127775,1.02382e+06,4570,0,0,0,657,0,0,0,0,0,0,0,
5,9,,3,5,0,4,,4,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,29,,29,0,0,1,29,0,0,8136,29,0,0,0,0,0,1,0,1839,0,1839,0,0,0,1839,0,0,0,1839,0,0,0,0,0,0,0,8136,657,8136,0,0,657,8136,0,0,0,0,0,0,0,0,,0,,,,0,0,0,0,0,0,0,0,0,0,3957,0,0,0,0,460,3497,0,0,35613,0,0,0,0,4140,31473,0,0,1.04114e+07,0,0,0,0,1.19702e+06,9.21442e+06,0,,0,,,,,,,0,0,0,,,0,0,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,73567,71,2,1,0,74,0,0,266,71,0,2,0,1,0,74431,796,286,0,278,7,1,68,286,0,0,67,278,0,7,0,1,0,65,68,21771,4,21491,212,68,0,21771,0,2,73567,21491,0,212,0,68,0,0,796,74431,262,3931,24,1,1,0,0,0,1.14987e+06,6222,75,657,0,0,0,434,3497,24,0,1,0,1,0,0,0,0,0,0,0,126048,1.02382e+06,6222,0,75,0,657,0,0,0,0,0,0,0,
