run,day,ID,status,Lat,Lon
2,1,31,C,33.515,-37.5675
2,2,31,C,33.515,-37.5675
2,2,2728,L,33.552,-37.7507
2,3,31,C,33.515,-37.5675
2,3,1922,L,33.407,-37.2380
2,3,2728,L,33.552,-37.7507
2,4,31,C,33.515,-37.5675
2,4,715,L,33.302,-37.0091
2,4,1922,L,33.407,-37.2380
2,4,2728,L,33.552,-37.7507
2,5,31,C,33.515,-37.5675
2,5,715,L,33.302,-37.0091
2,5,731,L,33.785,-37.7894
2,5,1914,L,33.215,-36.9742
2,5,1922,L,33.407,-37.2380
2,5,1950,L,33.137,-37.0975
2,5,2728,L,33.552,-37.7507
2,6,31,C,33.515,-37.5675
2,6,715,L,33.302,-37.0091
2,6,731,L,33.785,-37.7894
2,6,1908,L,33.282,-36.9530
2,6,1914,L,33.215,-36.9742
2,6,1922,L,33.407,-37.2380
2,6,1950,L,33.137,-37.0975
2,6,1988,L,33.067,-37.0964
2,6,2728,B,33.552,-37.7507
2,6,3267,L,33.990,-37.6930
2,7,31,C,33.515,-37.5675
2,7,636,L,33.315,-36.8601
2,7,715,L,33.302,-37.0091
2,7,731,L,33.785,-37.7894
2,7,1282,L,33.887,-37.5334
2,7,1908,L,33.282,-36.9530
2,7,1914,L,33.215,-36.9742
2,7,1922,L,33.407,-37.2380
2,7,1950,L,33.137,-37.0975
2,7,1988,L,33.067,-37.0964
2,7,2728,C,33.552,-37.7507
2,7,2865,L,34.051,-37.9798
2,7,3267,L,33.990,-37.6930
2,8,31,N,33.515,-37.5675
2,8,636,L,33.315,-36.8601
2,8,715,L,33.302,-37.0091
2,8,731,L,33.785,-37.7894
2,8,1282,L,33.887,-37.5334
2,8,1908,L,33.282,-36.9530
2,8,1914,L,33.215,-36.9742
2,8,1921,L,32.975,-36.9166
2,8,1922,L,33.407,-37.2380
2,8,1950,L,33.137,-37.0975
2,8,1988,L,33.067,-37.0964
2,8,2728,C,33.552,-37.7507
2,8,2793,L,33.330,-36.7134
2,8,2865,L,34.051,-37.9798
2,8,3267,L,33.990,-37.6930
2,9,31,N,33.515,-37.5675
2,9,636,L,33.315,-36.8601
2,9,715,B,33.302,-37.0091
2,9,731,L,33.785,-37.7894
2,9,1282,L,33.887,-37.5334
2,9,1908,L,33.282,-36.9530
2,9,1914,L,33.215,-36.9742
2,9,1921,L,32.975,-36.9166
2,9,1922,C,33.407,-37.2380
2,9,1950,L,33.137,-37.0975
2,9,1970,L,33.354,-36.6771
2,9,1973,L,32.955,-36.8383
2,9,1974,L,33.470,-36.6638
2,9,1988,L,33.067,-37.0964
2,9,2728,C,33.552,-37.7507
2,9,2793,L,33.330,-36.7134
2,9,2865,L,34.051,-37.9798
2,9,3242,L,32.958,-36.7745
2,9,3267,L,33.990,-37.6930
2,10,31,N,33.515,-37.5675
2,10,636,L,33.315,-36.8601
2,10,715,C,33.302,-37.0091
2,10,731,L,33.785,-37.7894
2,10,1282,L,33.887,-37.5334
2,10,1351,L,32.894,-36.7691
2,10,1908,L,33.282,-36.9530
2,10,1914,B,33.215,-36.9742
2,10,1921,L,32.975,-36.9166
2,10,1922,C,33.407,-37.2380
2,10,1950,L,33.137,-37.0975
2,10,1955,L,33.148,-36.6024
2,10,1970,L,33.354,-36.6771
2,10,1973,L,32.955,-36.8383
2,10,1974,L,33.470,-36.6638
2,10,1983,L,33.035,-36.5559
2,10,1988,L,33.067,-37.0964
2,10,2728,C,33.552,-37.7507
2,10,2793,L,33.330,-36.7134
