Type,underascertment,meandistance
both,0,57.65296272
both,0.94,102.7901374
both,0.92,101.5025428
both,0.9,92.4147338
both,0.88,94.6891638
both,0.86,82.94184428
both,0.84,82.94655339
both,0.82,80.78171667
both,0.8,81.9449259
both,0.78,78.58534406
both,0.76,72.19309974
both,0.74,73.72795321
both,0.72,71.93589611
both,0.7,70.06745994
both,0.68,71.88249528
both,0.66,74.129382
both,0.64,70.93933346
both,0.62,68.79275903
both,0.6,66.89648913
both,0.58,66.53528425
both,0.56,63.18192571
both,0.54,64.50393492
both,0.52,66.85749785
both,0.5,66.65073353
both,0.48,67.05088085
both,0.46,64.55717899
both,0.44,63.15960907
both,0.42,63.12161729
both,0.4,62.52557957
both,0.38,61.18480271
both,0.36,60.73228349
both,0.34,60.71347266
both,0.32,59.67856491
both,0.3,60.59856314
both,0.28,60.26330405
both,0.26,61.29960561
both,0.24,60.22891557
both,0.22,60.301346
both,0.2,60.28105638
both,0.18,60.72919063
both,0.16,60.12519554
both,0.14,59.58493373
both,0.12,60.07210136
both,0.1,59.44108968
both,0.08,58.58546345
both,0.06,58.72356304
both,0.04,58.10545047
both,0.02,58.4557309
only_geolocations,0,57.65296272
only_geolocations,0.94,54.43541542
only_geolocations,0.92,54.67227594
only_geolocations,0.9,61.10577117
only_geolocations,0.88,61.60842735
only_geolocations,0.86,60.06364895
only_geolocations,0.84,61.18953701
only_geolocations,0.82,57.52895084
only_geolocations,0.8,54.58232427
only_geolocations,0.78,58.49686872
only_geolocations,0.76,56.73311439
only_geolocations,0.74,56.80067288
only_geolocations,0.72,56.52816873
only_geolocations,0.7,56.83013646
only_geolocations,0.68,58.55868112
only_geolocations,0.66,55.89307751
only_geolocations,0.64,58.8860927
only_geolocations,0.62,55.15188803
only_geolocations,0.6,57.5729844
only_geolocations,0.58,58.19847956
only_geolocations,0.56,57.3113676
only_geolocations,0.54,57.41508271
only_geolocations,0.52,60.37606075
only_geolocations,0.5,57.82752866
only_geolocations,0.48,57.60244166
only_geolocations,0.46,58.03855414
only_geolocations,0.44,58.12364421
only_geolocations,0.42,59.42370178
only_geolocations,0.4,58.56182767
only_geolocations,0.38,58.75609025
only_geolocations,0.36,57.40463484
only_geolocations,0.34,58.8471746
only_geolocations,0.32,57.79899933
only_geolocations,0.3,58.21666005
only_geolocations,0.28,58.2277553
only_geolocations,0.26,58.55283346
only_geolocations,0.24,59.06732909
only_geolocations,0.22,57.76320563
only_geolocations,0.2,57.89040073
only_geolocations,0.18,58.30594846
only_geolocations,0.16,57.82659423
only_geolocations,0.14,58.71901937
only_geolocations,0.12,58.29961466
only_geolocations,0.1,59.17715523
only_geolocations,0.08,58.34566543
only_geolocations,0.06,58.26186186
only_geolocations,0.04,58.4974458
only_geolocations,0.02,58.57679189
