week,p2.5,p25,median,p75,p97.5
0,2.0,4.0,5.0,7.0,9.0
1,2.5,4.0,4.5,5.0,6.5
2,1.2,1.6,1.8,2.0,2.405
3,0.0,1.0,2.0,2.0,4.0
4,0.167,0.333,0.667,0.833,1.167
5,0.0,0.5,1.0,1.0,2.0
6,0.0,0.333,0.667,1.0,1.667
7,0.667,1.667,2.0,2.333,3.333
8,0.8,1.4,1.8,2.2,2.8
9,0.8,1.4,1.8,2.0,2.6
10,0.545,0.727,0.909,1.0,1.273
11,0.833,1.167,1.5,1.667,2.167
12,0.2,0.4,0.6,1.0,1.4
13,0.6,1.0,1.2,1.4,1.8
14,0.6,1.0,1.2,1.4,1.8
15,0.222,0.333,0.444,0.556,0.889
16,0.0,0.5,0.5,0.75,1.25
17,0.143,0.286,0.286,0.429,0.714
18,0.2,0.2,0.4,0.6,0.8
19,0.25,0.25,0.25,0.5,0.75
20,0.0,0.167,0.167,0.333,0.5
21,0.0,0.5,0.5,1.0,2.0
22,0.0,0.0,1.0,1.0,3.0
23,0.333,1.0,1.333,1.667,2.333
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,1.0,1.0,3.0
28,1.333,2.0,2.333,2.667,3.333
29,0.0,0.333,0.667,1.0,1.667
30,0.0,1.0,1.0,2.0,4.0
31,0.667,1.0,1.333,1.667,2.333
32,0.0,0.0,0.0,1.0,2.0
33,0.0,0.0,0.5,1.0,1.5
34,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.2,0.4,0.6
36,0.0,0.0,0.0,0.2,0.2
37,0.0,0.0,0.0,0.0,0.0
