week,p2.5,p25,median,p75,p97.5
0,15.0,16.0,17.0,17.0,17.0
1,1.5,1.5,1.5,1.5,2.0
2,1.4,1.4,1.4,1.4,1.6
3,1.0,1.0,1.0,1.0,1.0
4,0.0,0.167,0.167,0.167,0.167
5,0.5,1.0,1.5,1.5,1.5
6,0.667,0.667,0.667,0.667,0.667
7,1.333,1.667,1.667,1.667,2.0
8,1.4,1.8,1.8,2.0,2.2
9,1.2,1.6,1.6,1.8,1.805
10,0.545,0.545,0.545,0.636,0.727
11,1.5,1.667,1.667,1.667,1.833
12,0.6,0.6,0.6,0.8,1.0
13,1.6,1.8,2.0,2.0,2.2
14,1.2,1.4,1.4,1.6,1.6
15,0.375,0.375,0.5,0.5,0.5
16,0.25,0.25,0.25,0.25,0.25
17,0.429,0.429,0.429,0.429,0.429
18,0.6,0.6,0.6,0.8,0.8
19,0.25,0.25,0.25,0.25,0.25
20,0.167,0.333,0.333,0.5,0.5
21,0.5,0.5,0.5,0.5,0.5
22,1.0,2.0,2.0,2.0,2.0
23,0.333,0.333,0.667,0.667,0.667
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,1.0,1.0,1.0,2.0,2.0
28,2.667,3.0,3.333,3.667,3.667
29,0.0,0.0,0.0,0.0,0.333
30,1.0,1.0,1.0,1.0,2.0
31,2.0,2.333,2.333,2.333,2.667
32,0.0,0.0,0.0,0.0,0.0
33,0.5,0.5,0.5,0.5,0.5
34,0.0,0.0,0.0,0.0,0.0
35,0.25,0.25,0.5,0.5,0.5
36,0.2,0.2,0.2,0.4,0.4
37,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0
40,1.0,1.0,1.0,2.0,2.0
41,1.0,1.0,1.5,1.5,2.0
42,0.667,0.667,0.667,0.667,0.667
43,0.0,0.0,0.0,0.0,0.0
44,3.0,4.0,5.0,5.0,5.0
45,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.2,0.2,0.2
47,0.0,0.0,0.0,0.0,0.0
48,0.5,0.5,0.5,0.5,0.5
49,2.0,2.0,2.0,2.0,2.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.025
53,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0
55,1.975,2.0,2.0,2.0,2.0
56,0.0,0.0,0.0,0.0,0.0
57,1.0,1.0,1.0,1.0,1.0
58,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0
62,0.0,0.0,0.0,0.0,0.0
63,0.0,0.0,0.0,0.0,0.0
64,1.0,1.0,1.0,1.0,1.0
65,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0
