week,p2.5,p25,median,p75,p97.5
0,0.0,1.0,1.0,1.0,1.0
1,4.0,4.25,5.0,5.5,6.388
2,0.245,0.45,0.6,0.6,0.755
3,1.225,2.0,2.0,3.0,3.775
4,1.204,1.333,1.5,1.667,1.925
5,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.258
7,0.0,0.0,0.0,0.25,0.667
8,4.6,4.8,4.9,5.2,5.4
9,0.0,0.0,0.0,0.0,0.2
10,0.293,0.545,0.636,0.636,0.727
11,0.0,0.0,0.0,0.125,0.296
12,1.6,1.85,2.1,2.35,2.555
13,0.0,0.0,0.0,0.0,0.2
14,2.535,3.4,3.7,3.8,4.31
15,0.889,1.0,1.111,1.389,1.556
16,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0
18,0.045,0.25,0.4,0.4,0.555
19,0.5,0.5,0.5,0.5,0.944
20,0.0,0.0,0.0,0.0,0.129
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,1.075,1.333,1.333,1.333,1.333
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0
31,0.0,0.125,0.5,0.5,0.5
32,0.0,0.0,0.0,0.0,0.0
